Species,Dispersal_pattern,Fire_Pattern,Initial_juvenile_density,Initial_adult_density,Juvenile_survival,Adult_survival,Recruitment,Transition,Juvenile_survival_SD,Adult_survival_SD,Recruitment_SD,Transition_SD,Max_individuals_K,Juvenile_dispersal_distance,Adult_dispersal_distance,Juvenile_dispersal_proportion,Adult_dispersal_proportion,Early_fire_survival_multiplier,Late_fire_survival_multiplier,Early_fire_transition_multiplier,Late_fire_transition_multiplier,Early_fire_recruitment_multiplier,Late_fire_recruitment_multiplier
Northern_brown_bandicoot,low,recorded,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,2,2,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,mod,recorded,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,512,512,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,high,recorded,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,1024,1024,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,low,clumped,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,2,2,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,mod,clumped,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,512,512,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,high,clumped,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,1024,1024,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,low,dispersed,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,2,2,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,mod,dispersed,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,512,512,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Northern_brown_bandicoot,high,dispersed,0.3713,0.4187,0.55,0.75,0.45,0.36,0.07,0.11,0.12,0.1,2,1024,1024,1,0.1,0.86,0.6,0.86,0.6,1,0.21
Common_brushtail_possum,low,recorded,0.3744,0.4056,0.55,0.79,0.46,0.25,0.09,0.08,0.26,0.11,2.46,2,2,1,0.1,0.83,0.7,0.83,0.7,0.46,0.02
Common_brushtail_possum,mod,recorded,0.3744,0.4056,0.55,0.79,0.46,0.25,0.09,0.08,0.26,0.11,2.46,288,288,1,0.1,0.83,0.7,0.83,0.7,0.46,0.02
